item,pic,title
http://www.wikidata.org/entity/Q17319717,http://commons.wikimedia.org/wiki/Special:FilePath/Melchior%20Brassauw%20001.jpg,A Musical Company
http://www.wikidata.org/entity/Q17319674,http://commons.wikimedia.org/wiki/Special:FilePath/A%20Scholar%20in%20His%20Study%20Rijksmuseum%20Amsterdam%20SK-A-23.jpg,A Scholar in his Study
http://www.wikidata.org/entity/Q17319666,http://commons.wikimedia.org/wiki/Special:FilePath/After%20Willem%20Key%20-%20Portrait%20of%20Fernando%20%C3%81lvarez%20de%20Toledo.jpg,"Portrait of Fernando Alvarez de Toledo, Duke of Alba"
http://www.wikidata.org/entity/Q17319665,http://commons.wikimedia.org/wiki/Special:FilePath/Hendrick%20van%20Balen%20%28I%29%20-%20Bacchus%20and%20Diana.jpg,Bacchus and Diana
http://www.wikidata.org/entity/Q17319710,http://commons.wikimedia.org/wiki/Special:FilePath/Italiaans%20landschap%20met%20de%20Ponte%20Molle%20Rijksmuseum%20SK-A-51.jpeg,Italian Landscape with the Ponte Molle
http://www.wikidata.org/entity/Q17319708,http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20Both%20005.jpg,Farmyard
http://www.wikidata.org/entity/Q17319716,http://commons.wikimedia.org/wiki/Special:FilePath/Pieter%20Cornelisz%20Hooft%20%281581-1647%29.%20Drost%20van%20Muiden%2C%20geschiedschrijver%20en%20dichter%20Rijksmuseum%20SK-A-56.jpeg,"Portrait of Pieter Corneliszoon Hooft, Bailiff of Muiden, Historian and Poet"
http://www.wikidata.org/entity/Q17319654,http://commons.wikimedia.org/wiki/Special:FilePath/Adriaen%20Backer%20-%20Daniel%20Niellius%20staalmeester%20van%20Alkmaar.jpg,Daniel Niellius. Elder of the Remonstrant Church and Sampling Official of Alkmaar
http://www.wikidata.org/entity/Q17319675,http://commons.wikimedia.org/wiki/Special:FilePath/Cornelis%20Pietersz.%20Bega%20Peasants%20making%20music%20and%20dancing.jpg,Peasants making Music and Dancing
http://www.wikidata.org/entity/Q17319660,http://commons.wikimedia.org/wiki/Special:FilePath/Ludolf%20Bakhuizen%20006.jpg,The Y off Amsterdam
